symbol,tp,sl,hold,cagr,max_dd,max_dd_days,trades,win_rate,score
HIBL,0.1200,0.0600,3,0.4239,0.2153,122,187,0.5561,0.261427
NAIL,0.0800,0.0800,1,0.3256,0.1726,47,151,0.6887,0.246002
WANT,0.1200,0.0800,1,0.3953,0.2885,168,382,0.5445,0.210107
MEXX,0.0500,0.0800,5,0.2591,0.2190,68,119,0.7395,0.179138
WEBL,0.0800,0.0800,5,0.2940,0.1218,215,95,0.6632,0.164923
SOXL,0.1200,0.0600,1,0.3532,0.2306,287,580,0.5897,0.160658
PILL,0.0800,0.0600,1,0.2975,0.1982,243,361,0.5789,0.149044
UBOT,0.1200,0.0400,1,0.2203,0.1408,123,177,0.6045,0.144416
CWEB,0.1200,0.0400,1,0.1737,0.1569,15,45,0.5778,0.144250
DFEN,0.1200,0.0600,3,0.3091,0.5627,170,336,0.5387,0.134928
ERX,0.0800,0.0800,1,0.2838,0.3020,285,833,0.5702,0.122381
FTXL,0.1200,0.0600,1,0.1825,0.0773,153,360,0.5917,0.119350
ARKF,0.1200,0.0400,3,0.2000,0.2138,162,284,0.5845,0.114119
TPOR,0.0800,0.0600,1,0.1783,0.1324,181,314,0.5287,0.105237
KORU,0.1200,0.0400,3,0.2584,0.4139,296,195,0.5077,0.100903
DPST,0.1200,0.0800,1,0.2435,0.2636,339,414,0.5217,0.099891
EURL,0.0800,0.0800,1,0.1708,0.1815,164,167,0.6048,0.099771
NUGT,0.1200,0.0800,1,0.2774,0.3377,407,526,0.5722,0.098028
JNUG,0.1200,0.0800,1,0.3318,0.2774,607,401,0.5561,0.097535
MIDU,0.0800,0.0800,5,0.1980,0.3304,195,333,0.6036,0.096977
LABD,0.1200,0.0800,1,0.1706,0.1049,238,121,0.6198,0.093432
GUSH,0.0800,0.0800,1,0.2508,0.2847,412,505,0.5703,0.091711
UMDD,0.0800,0.0600,1,0.1750,0.2197,233,630,0.5349,0.087553
YANG,0.1200,0.0800,1,0.2182,0.2978,389,1462,0.5205,0.081386
URTY,0.1200,0.0800,3,0.1647,0.1047,336,104,0.6923,0.077649
TECL,0.1200,0.0400,1,0.1444,0.2057,202,134,0.6045,0.077080
TQQQ,0.1200,0.0800,1,0.1362,0.2387,165,115,0.6174,0.075707
GOAU,0.1200,0.0600,3,0.1666,0.3098,265,510,0.5314,0.073692
UYM,0.1200,0.0600,3,0.1402,0.1523,253,176,0.6023,0.071883
RETL,0.1200,0.0800,1,0.1495,0.1591,293,407,0.5283,0.071564
FXP,0.1200,0.0400,1,0.1439,0.0982,318,413,0.5472,0.070028
FAS,0.1200,0.0800,3,0.1338,0.2286,225,114,0.6053,0.067348
UWM,0.1200,0.0800,1,0.1517,0.4326,224,1237,0.5190,0.065613
UDOW,0.1200,0.0600,5,0.1147,0.1287,205,100,0.5300,0.065082
EDC,0.0300,0.0600,1,0.1453,0.1544,355,394,0.5990,0.063813
