Date,Symbol,Open,High,Low,Close,Volume
2023-01-03,AAPL,130.28,130.90,124.17,125.07,112117500
2023-01-04,AAPL,126.89,128.66,125.08,126.36,89113600
2023-01-05,AAPL,127.13,127.77,124.76,125.02,87929400
2023-01-06,AAPL,126.01,130.29,124.89,129.62,87754700
2023-01-09,AAPL,130.47,133.41,129.89,130.15,70790800
2023-01-10,AAPL,130.26,131.26,128.12,130.73,63896200
2023-01-11,AAPL,131.25,133.51,130.46,133.49,69458900
2023-01-12,AAPL,133.88,134.26,131.44,133.41,71379600
2023-01-13,AAPL,132.03,134.92,131.66,134.76,57809700
2023-01-17,AAPL,134.83,137.29,134.13,135.94,63646600
2023-01-18,AAPL,136.82,138.61,135.03,135.21,69672800
2023-01-19,AAPL,134.08,136.25,133.77,135.27,58280400
2023-01-20,AAPL,135.28,138.02,134.22,137.87,80223600
2023-01-23,AAPL,138.12,143.32,137.90,141.11,81760300
2023-01-24,AAPL,140.31,143.16,140.30,142.53,66435100
2023-01-25,AAPL,140.89,142.43,138.81,141.86,65799300
2023-01-26,AAPL,143.17,144.25,141.90,143.96,54105100
2023-01-27,AAPL,143.16,147.23,143.08,145.93,70555800
2023-01-30,AAPL,144.96,145.55,142.85,143.00,64015300
2023-01-31,AAPL,142.70,144.34,142.28,144.29,65874500
2023-02-01,AAPL,143.97,146.61,141.32,145.43,77663600
2023-02-02,AAPL,148.90,151.18,148.17,150.82,118339000
2023-02-03,AAPL,148.03,157.38,147.83,154.50,154357300
2023-02-06,AAPL,152.57,153.10,150.78,151.73,69858800
2023-02-07,AAPL,150.64,155.23,150.64,154.65,83322600
2023-02-08,AAPL,153.88,154.58,151.17,151.92,64120100
2023-02-09,AAPL,153.78,154.33,150.42,150.87,56007100
2023-02-10,AAPL,149.46,151.34,149.22,151.01,57450700
2023-02-13,AAPL,150.95,154.26,150.92,153.85,62199000
2023-02-14,AAPL,152.12,153.77,150.86,153.20,61707600
2023-02-15,AAPL,153.11,155.50,152.88,155.33,65573800
